Fecha,emisions,IGAE,CETES28d
01/11/2011,451376244,87.5925,4.35
01/12/2011,452715838,87.5323,4.34
01/01/2012,453506281,88.3824,4.27
01/02/2012,467384943,88.5687,4.32
01/03/2012,476095324,88.6772,4.24
01/04/2012,462770769,88.9394,4.29
01/05/2012,466709319,88.4975,4.39
01/06/2012,470838350,89.1018,4.34
01/07/2012,469533576,89.448,4.15
01/08/2012,469510249,88.9751,4.13
01/09/2012,470463407,89.2972,4.17
01/10/2012,472287155,89.2121,4.21
01/11/2012,450986591,90.0649,4.29
01/12/2012,452376750,89.7589,4.05
01/01/2013,454730554,89.7803,4.15
01/02/2013,461085988,89.525,4.19
01/03/2013,466372904,89.4959,3.98
01/04/2013,472954259,89.1638,3.82
01/05/2013,486705436,89.9514,3.72
01/06/2013,492940553,89.6271,3.78
01/07/2013,490119091,89.7104,3.85
01/08/2013,491735039,90.2367,3.84
01/09/2013,491242397,90.1451,3.64
01/10/2013,490773515,90.3851,3.39
01/11/2013,490464278,90.2006,3.39
01/12/2013,496603757,90.7022,3.29
01/01/2014,492822401,90.1641,3.14
01/02/2014,496545740,91.1566,3.16
01/03/2014,495826965,91.452,3.17
01/04/2014,494419551,91.8617,3.23
01/05/2014,494478125,92.5368,3.28
01/06/2014,489758844,92.215,3.02
01/07/2014,486816144,92.7519,2.83
01/08/2014,498184823,92.1302,2.77
01/09/2014,494655681,92.3389,2.83
01/10/2014,489135974,93.0247,2.9
01/11/2014,482769898,93.1366,2.85
01/12/2014,482357328,93.0608,2.81
01/01/2015,481988945,93.2226,2.67
01/02/2015,492798082,93.44,2.81
01/03/2015,498745817,93.621,3.04
01/04/2015,503368713,94.5294,2.97
01/05/2015,512165013,93.838,2.98
01/06/2015,519741120,94.2615,2.96
01/07/2015,534141889,95.0448,2.99
01/08/2015,547735724,94.979,3.04
01/09/2015,557842721,96.4389,3.1
01/10/2015,564195436,95.2203,3.02
01/11/2015,558179001,94.6147,3.02
01/12/2015,563633879,94.8773,3.14
01/01/2016,565891764,95.1307,3.08
01/02/2016,570766961,95.5924,3.36
01/03/2016,570203892,95.088,3.8
01/04/2016,579622120,95.1641,3.74
01/05/2016,584191153,95.4878,3.81
01/06/2016,581543934,95.9435,3.81
01/07/2016,585821596,95.8106,4.21
01/08/2016,593118978,96.145,4.24
01/09/2016,596435137,96.7606,4.28
01/10/2016,605548393,97.0104,4.69
01/11/2016,594273870,97.2315,5.15
01/12/2016,594293866,97.7156,5.61
01/01/2017,593284270,98.0126,5.83
01/02/2017,595461951,97.5353,6.06
01/03/2017,583999291,97.902,6.32
01/04/2017,586965879,97.844,6.5
01/05/2017,594608859,97.6644,6.56
01/06/2017,605884051,98.1335,6.82
01/07/2017,608650387,97.2934,6.99
01/08/2017,610985454,98.3005,6.94
01/09/2017,642911440,97.1723,6.99
01/10/2017,670246015,98.4313,7.03
01/11/2017,671247168,99.2236,7.02
01/12/2017,671335970,99.8401,7.17
01/01/2018,666460792,99.1494,7.25
01/02/2018,668395612,99.648,7.4
01/03/2018,695818480,100.3422,7.47
01/04/2018,703984278,99.453,7.46
01/05/2018,714803143,100.1562,7.51
01/06/2018,712528368,99.9268,7.64
01/07/2018,701563896,100.2373,7.73
01/08/2018,708603187,100.6047,7.73
01/09/2018,714842145,100.6706,7.69
01/10/2018,714303861,100.5782,7.69
01/11/2018,716445204,100.0197,7.83
01/12/2018,712382868,99.6661,8.02
01/01/2019,711957459,100.1091,7.95
01/02/2019,716505299,100.5136,7.93
