ByM_lag0,ByM_lag1,ByM_lag2,i_lag0,y_lag0,inpc_lag0,i_lag1,y_lag1,inpc_lag1
740223.965,728580.289,737859.785,4.5,98.9703,79.841036,4.5,98.946,79.439119
758617.346,740223.965,728580.289,4.5,100.4166,80.383437,4.5,98.9703,79.841036
845395.608,758617.346,740223.965,4.51,99.5142,80.568243,4.5,100.4166,80.383437
787097.788,845395.608,758617.346,4.49,99.5099,80.892782,4.51,99.5142,80.568243
778364.154,787097.788,845395.608,4.49,99.5506,81.290943,4.49,99.5099,80.892782
803483.379,778364.154,787097.788,4.15,99.6204,81.887433,4.49,99.5506,81.290943
764627.974,803483.379,778364.154,4.02,99.1856,81.941523,4.15,99.6204,81.887433
772198.529,764627.974,803483.379,4.02,99.7456,81.66882,4.02,99.1856,81.941523
773244.201,772198.529,764627.974,4.02,99.554,81.619238,4.02,99.7456,81.66882
769509.433,773244.201,772198.529,4.01,99.608,81.592193,4.02,99.554,81.619238
769244.753,769509.433,773244.201,4.01,100.2992,81.824328,4.01,99.608,81.592193
769835.448,769244.753,769509.433,3.82,100.4423,82.13234,4.01,100.2992,81.824328
779988.436,769835.448,769244.753,3.72,100.6803,82.522988,3.82,100.4423,82.13234
821135.896,779988.436,769835.448,3.57,100.663,83.292265,3.72,100.6803,82.522988
917875.175,821135.896,779988.436,3.62,101.1796,83.770058,3.57,100.663,83.292265
869142.994,917875.175,821135.896,3.5,100.2567,84.519052,3.62,101.1796,83.770058
864384.885,869142.994,917875.175,3.52,101.6291,84.733157,3.5,100.2567,84.519052
858037.679,864384.885,869142.994,3.51,101.6529,84.965292,3.52,101.6291,84.733157
873152.161,858037.679,864384.885,3.53,102.3346,84.806779,3.51,101.6529,84.965292
875565.293,873152.161,858037.679,3.53,102.7753,84.535579,3.53,102.3346,84.806779
875844.658,875565.293,873152.161,3.15,102.5382,84.682072,3.53,102.7753,84.535579
887166.515,875844.658,875565.293,3.02,102.954,84.914959,3.15,102.5382,84.682072
886285.426,887166.515,875844.658,3.05,102.7307,85.219965,3.02,102.954,84.914959
883140.826,886285.426,887166.515,3.02,102.6379,85.59634,3.05,102.7307,85.219965
908610.791,883140.826,886285.426,3.04,103.8271,86.069626,3.02,102.6379,85.59634
944939.081,908610.791,883140.826,3.05,104.0571,86.763778,3.04,103.8271,86.069626
1062892.005,944939.081,908610.791,3.08,104.1017,87.188984,3.05,104.0571,86.763778
1024724.921,1062892.005,944939.081,3.04,104.1043,87.110103,3.08,104.1017,87.188984
1025434.231,1024724.921,1062892.005,3.06,104.456,87.275377,3.04,104.1043,87.110103
1064272.698,1025434.231,1024724.921,3.07,104.5591,87.630717,3.06,104.456,87.275377
1046381.607,1064272.698,1025434.231,3.04,106.1425,87.40384,3.07,104.5591,87.630717
1057903.659,1046381.607,1064272.698,3.02,105.1859,86.967366,3.04,106.1425,87.40384
1054390.499,1057903.659,1046381.607,3.1,105.5937,87.113108,3.02,105.1859,86.967366
1071939.313,1054390.499,1057903.659,3.1,106.468,87.24082,3.1,105.5937,87.113108
1078993.591,1071939.313,1054390.499,3.08,106.6438,87.424875,3.1,106.468,87.24082
1072556.866,1078993.591,1071939.313,3.07,107.69,87.752419,3.08,106.6438,87.424875
1095608.243,1072556.866,1078993.591,3.04,106.7485,88.203919,3.07,107.69,87.752419
1118916.442,1095608.243,1072556.866,3.07,106.2873,88.685468,3.04,106.7485,88.203919
1239327.041,1118916.442,1095608.243,3.24,106.4846,89.046818,3.07,106.2873,88.685468
1203744.198,1239327.041,1118916.442,3.28,107.0337,89.386381,3.24,106.4846,89.046818
1190668.406,1203744.198,1239327.041,3.49,107.4768,89.777781,3.28,107.0337,89.386381
1214340.926,1190668.406,1203744.198,3.79,107.2336,89.910001,3.49,107.4768,89.777781
1200801.859,1214340.926,1190668.406,3.77,107.3446,89.625278,3.79,107.2336,89.910001
1221642.781,1200801.859,1214340.926,3.8,107.6571,89.225615,3.77,107.3446,89.625278
1235273.746,1221642.781,1200801.859,3.83,108.2649,89.324028,3.8,107.6571,89.225615
1251299.734,1235273.746,1221642.781,4.26,108.2227,89.556914,3.83,108.2649,89.324028
1243634.166,1251299.734,1235273.746,4.29,108.2369,89.809333,4.26,108.2227,89.556914
1251257.9,1243634.166,1251299.734,4.33,108.9482,90.357744,4.29,108.2369,89.809333
1266174.904,1251257.9,1243634.166,4.77,109.3515,90.906154,4.33,108.9482,90.357744
1306229.771,1266174.904,1251257.9,5.0,109.6437,91.616834,4.77,109.3515,90.906154
1419753.503,1306229.771,1266174.904,5.57,110.3606,92.039035,5.0,109.6437,91.616834
1382790.72,1419753.503,1306229.771,5.77,110.4482,93.603882,5.57,110.3606,92.039035
1367859.767,1382790.72,1419753.503,6.13,109.8639,94.14478,5.77,110.4482,93.603882
1369314.609,1367859.767,1382790.72,6.31,110.3612,94.722489,6.13,109.8639,94.14478
1378915.378,1369314.609,1367859.767,6.58,110.5091,94.838933,6.31,110.3612,94.722489
1374295.827,1378915.378,1369314.609,6.63,109.672,94.725494,6.58,110.5091,94.838933
1371216.535,1374295.827,1378915.378,6.85,110.934,94.96364,6.63,109.672,94.725494
1369986.826,1371216.535,1374295.827,7.06,109.9404,95.322736,6.85,110.934,94.96364
1353026.215,1369986.826,1371216.535,7.04,110.9833,95.793768,7.06,109.9404,95.322736
